item_id,lexical_item_id,counterbalance_group,version,word,sentence,condition,interpretation,stimulus,low_base,high_base,lemma,lemma_category,freq_ortho,freq_ortho/M,log10_freq_ortho,zipf_scale,length,reading,analysis_status
LR014_low,LR014,1,1,renacionalizável,que pode ser renacionalizado,low_re,res,renacionalizável,renacionalizar,nacionalizável,nacionalizar,verb,43,1.37040131,1.63346846,3.13684776,12,low,correct
LR014_high,LR014,1,4,renacionalizável,que é nacionalizável novamente,low_re,res,renacionalizável,renacionalizar,nacionalizável,nacionalizar,verb,43,1.37040131,1.63346846,3.13684776,12,high,incorrect
LR015_low,LR015,3,3,reesterilizável,que pode ser reesterilizado,low_re,res,reesterilizável,reesterilizar,esterilizável,esterilizar,verb,44,1.40227111,1.64345268,3.14683199,11,low,correct
LR015_high,LR015,3,2,reesterilizável,que é esterilizável novamente,low_re,res,reesterilizável,reesterilizar,esterilizável,esterilizar,verb,44,1.40227111,1.64345268,3.14683199,11,high,incorrect
LR016_low,LR016,4,4,reidratável,que pode ser reidratado,low_re,res,reidratável,reidratar,hidratável,hidratar,verb,50,1.59348989,1.69897,3.20234931,8,low,correct
LR016_high,LR016,4,3,reidratável,que é hidratável novamente,low_re,res,reidratável,reidratar,hidratável,hidratar,verb,50,1.59348989,1.69897,3.20234931,8,high,incorrect
LR017_low,LR017,4,4,ressoldável,que pode ser ressoldado,low_re,res,ressoldável,ressoldar,soldável,soldar,verb,55,1.75283888,1.74036269,3.243742,6,low,correct
LR017_high,LR017,4,3,ressoldável,que é soldável novamente,low_re,res,ressoldável,ressoldar,soldável,soldar,verb,55,1.75283888,1.74036269,3.243742,6,high,incorrect
LR018_low,LR018,2,2,reaparelhável,que pode ser reaparelhado,low_re,res,reaparelhável,reaparelhar,aparelhável,aparelhar,verb,63,2.00779726,1.79934055,3.30271986,9,low,correct
LR018_high,LR018,2,1,reaparelhável,que é aparelhável novamente,low_re,res,reaparelhável,reaparelhar,aparelhável,aparelhar,verb,63,2.00779726,1.79934055,3.30271986,9,high,incorrect
LR019_low,LR019,1,1,revalidável,que pode ser revalidado,low_re,res,revalidável,revalidar,validável,validar,verb,72,2.29462545,1.8573325,3.36071181,7,low,correct
LR019_high,LR019,1,4,revalidável,que é validável novamente,low_re,res,revalidável,revalidar,validável,validar,verb,72,2.29462545,1.8573325,3.36071181,7,high,incorrect
